keep,name,reviewCount,rating,googleType,address,categories,isIndoor,lat,lng,id
,"Bighand Bros. Beer CHIEKOIN Brewery & Taproom",30,4.5,"brewery","京都市上京区笹屋町通智恵光院笹屋町1−５１９ B1","night|food",true,35.028099499999996,135.74687849999998,"ChIJl6fvPPgHAWARxtyPW4P7WNA"
,"イタリアンバル amau",30,4.7,"italian_restaurant","京都市北区紫野雲林院町９０","night|food",true,35.039387399999995,135.7488281,"ChIJC9Gn4wkHAWARTLGm9GdNjp8"
,"羅城門 復元模型",31,4.3,"tourist_attraction","京都市下京区東塩小路町","photo|culture",false,34.986559799999995,135.760412,"ChIJGcgKQK4IAWAR5U19eGb4dPw"
,"キッチン木の芽",31,4.3,"japanese_izakaya_restaurant","京都市山科区椥辻草海道町３６−６４","food",true,34.970538999999995,135.81467179999999,"ChIJW_iI5okOAWARomvW-tjI6Cw"
,"ラッキーフェイセス",32,4.6,"bar","京都市東山区祇園町北側３２３","night|food",true,35.004722,135.7773891,"ChIJj5sO_MIIAWARa5adiv4g7Nk"
,"親水テラス",32,4.9,"park","京都市東山区","nature|quiet",false,35.006872699999995,135.7784965,"ChIJMRPSKmsJAWAR__KZqajhZf4"
,"翠路 籠と民藝喫茶",32,4.8,"coffee_shop","京都市左京区浄土寺下南田町１４８","quiet|food",true,35.023098399999995,135.7956803,"ChIJPdCJxWAJAWAR6IawpS6MDfc"
,"嵯峩螺鈿 野村",32,4.6,"art_gallery","京都市右京区嵯峨釈迦堂大門町２６","culture|photo",true,35.021778999999995,135.675284,"ChIJz-MatQKqAWARfsEAhTRrTa0"
,"冠者殿社",33,4.2,"shinto_shrine","京都市下京区貞安前之町６０９","photo|culture",false,35.0036325,135.7671615,"ChIJE6bwzpUIAWAR99KEMKwaR3M"
,"ENTERTAINMENT HUB KYOTO",33,4.1,"restaurant","京都市下京区東塩小路町７３５−３ ENTERTAINMENT HUB KYOTO","culture|photo",true,34.9886404,135.760086,"ChIJP335EV0JAWARZt8PTiKLKQg"
,"オムロン コミュニケーションプラザ",33,4.4,"museum","京都市下京区南不動堂町８０１","culture",true,34.98692500000001,135.7541368,"ChIJYfuT16cIAWARuVdCeXt_wkY"
,"語り×Café＆Bar Katharsis",33,4.5,"bar","京都市左京区田中門前町28−１４ 吹上ビル 3階 北号室","night|food",true,35.029146,135.7791018,"ChIJV5TKCWAJAWARomRKzTz0Yo4"
,"関西地図センター",33,4.6,"book_store","京都市左京区吉田本町２７−８","quiet|culture",true,35.028422,135.7843603,"ChIJe_KHFFYIAWAReuOibO_f-7U"
,"伏水89丁目食堂",33,4.3,"japanese_izakaya_restaurant","京都市伏見区平野町８２−２ 伏水酒蔵小路","food",true,34.9325002,135.76055589999999,"ChIJu5xBavYPAWARCR5x3sXzCbQ"
,"HOHO HOJICHA 焙茶専門店 京都駅店",34,4.5,"gift_shop","京都市下京区東塩小路町９０１ 京都駅ビル 1F おみやげ小路 京小町","quiet|food",true,34.9860824,135.7585756,"ChIJ-We4eSgJAWAR3FwOiC3H6rY"
,"喫煙所",34,4.6,"park","喜八郎 ２階, ２丁目-２０８−２ 清水 東山区 京都市","nature|quiet",false,34.9965347,135.78012049999998,"ChIJb8rAEwAJAWARM-w15YbDP7U"
,"酒とつまみ 蓮",34,4.5,"bar","京都市左京区田中下柳町8ｰ12","night|food",true,35.028632,135.774112,"ChIJpcvGRVwIAWARoP2SFCQ2xtU"
,"ラストドロップ",34,4.8,"restaurant","京都市上京区大宮通寺之内仲之町二丁目４９１","quiet|food",true,35.0353954,135.74865010000002,"ChIJ26K__68HAWARmvvhQz3yGOw"
,"立ち飲み カドヤ",34,4.4,"bar","京都市北区紫野南舟岡町７３−１８","night|food",true,35.037292199999996,135.7449676,"ChIJIYvJ4foHAWARNan0_EA_6Fg"
,"おうちごはん Home Cooking 華",34,5,"japanese_restaurant","京都市西京区嵐山中尾下町２２−１ シャーメゾン嵐山 1F","quiet|food",true,35.0100565,135.679247,"ChIJ1WKbrYkHAWAR1BROYXizaUQ"
,"藤澤山 寳厳院 大光寺",34,4,"buddhist_temple","京都市伏見区伯耆町１−１","photo|culture",false,34.9332902,135.7603613,"ChIJFZ8oR44PAWARmp4IC0o9SaU"
,"室町小路広場",35,4.3,"tourist_attraction","京都市下京区東塩小路町京都駅ビル","photo|culture",false,34.9858556,135.7587624,"ChIJH9Oe6K4IAWARff0fUcPmRDo"
,"Parade - パレード伏見洋菓子店",35,4.1,"cafeteria","京都市伏見区魚屋町５７４ ハイツ桃山 １０５号","food",true,34.931803699999996,135.7635202,"ChIJwZ9E258PAWARwu_FO-FZ6Rc"
,"京都駅八条口駅前広場 サンクガーデン",36,4.3,"park","京都市南区東九条西山王町","nature|quiet",false,34.9839785,135.7599976,"ChIJzy3nuK0IAWARCG8y-DIlVNs"
,"パン工房 くーぺ",36,4.3,"bakery","京都市伏見区聚楽町６７２","food",true,34.937750699999995,135.75683519999998,"ChIJo6AW0IMPAWAR4XIyUZpO3FU"
,"吉田山公園",37,4.2,"park","京都市左京区吉田神楽岡町８","nature|quiet",false,35.024608,135.7860301,"ChIJl0DioY0JAWARGZiHQITyrvc"
,"いろは寿司",37,4.3,"sushi_restaurant","京都市山科区大宅関生町１２５","food",true,34.9671632,135.8150425,"ChIJ948Yv2MOAWAR4nwJ-BLbO-4"
,"鴨川河川敷グラウンド",38,4.3,"park","京都市上京区 35.0258337,135","nature|quiet",false,35.02561300000001,135.770963,"ChIJi3f2qmAIAWARX4PONONS9CY"
,"バーイロコイ",38,4.9,"bar","京都市伏見区納屋町124番地3 ユートピアプラザビル 4階西","night|food",true,34.932840399999996,135.7597065,"ChIJ3z5firMPAWARs_9rFpbN8Fk"
